Job Title,Company Name,Location,Skills,Link
Senior DevOps Engineer,AlAhlyMomknforepayment,"Maadi, Cairo, Egypt",CentOS,https://wuzzuf.net/jobs/p/IPeRTb7VAmGh-Senior-DevOps-Engineer-Al-Ahly-Momkn-for-e-payment-Cairo-Egypt
Full Stack Developer,VisitVentures,"New Cairo, Cairo, Egypt",PHP,https://wuzzuf.net/jobs/p/jD1wa4Ka0jAO-Full-Stack-Developer-Visit-Ventures-Cairo-Egypt
Quality Assurance tester,PartnerMore,"New Cairo, Cairo, Egypt",computerscience,https://wuzzuf.net/jobs/p/HQIn1HQyIsml-Quality-Assurance-tester-Partner-More-Cairo-Egypt
Certified Odoo Developer,Confidential,"Baghdad, Iraq",informationtechnologyit,https://wuzzuf.net/jobs/p/B4oXp8Xg8pC7-Certified-Odoo-Developer-Baghdad-Iraq
Senior Data Analyst,Goldentex,"10th of Ramadan City, Sharqia, Egypt",computerengineering,https://wuzzuf.net/jobs/p/pDuDzSwwSi9g-Senior-Data-Analyst-Goldentex-Sharqia-Egypt
Senior Full Stack Developer,IbnSinaPharma,"Maadi, Cairo, Egypt",python,https://wuzzuf.net/jobs/p/4TOmbxizc06L-Senior-Full-Stack-Developer-Ibn-Sina-Pharma-Cairo-Egypt
IT system Administrator,Eduhive,"Bolkly, Alexandria, Egypt",software,https://wuzzuf.net/jobs/p/Lv2qqCDmmKuk-IT-system-Administrator-Eduhive-Alexandria-Egypt
Senior Full Stack Developer,SalemVentures,"Maadi, Cairo, Egypt",microsoftoffice,https://wuzzuf.net/jobs/p/GJdr4nqMUF1t-Senior-Full-Stack-Developer-Salem-Ventures-Cairo-Egypt
Programming Trainer (Applications & Websites),GBCorp,"6th of October, Giza, Egypt",management,https://wuzzuf.net/jobs/p/3Gjf3arQBrkR-Programming-Trainer-Applications-Websites-GB-Corp-Giza-Egypt
Senior Full Stack Developer,PACKNMOVELOGISTICS,"Heliopolis, Cairo, Egypt",InformationTechnologyIT,https://wuzzuf.net/jobs/p/U8GFyWRzus21-Senior-Full-Stack-Developer-PACK-‘N’-MOVE-LOGISTICS-Cairo-Egypt
